text,true_label,pred_label,confidence,margin,run_id,True_Label_Name,Pred_Label_Name,correct,error_type
Sanoma News ' advertising sales decreased by 22 % during the year .,1,1,0.9743121,0.95534766,baseline,negative,negative,1,ok
The intent of the article was to focus attention on the fact that the development model that China had followed was very different than the model that India had followed .,2,2,0.86954325,0.7924622,baseline,neutral,neutral,1,ok
"Country : , Finland Sector : Construction-Real Estate Target : Pohjolan Design-Talo Oy Buyer : CapMan Oyj Vendor : Ruukki Group Oyj Deal size in USD : 102.6 m Type : Divestment Status : Agreed",2,2,0.93906045,0.8943229,baseline,neutral,neutral,1,ok
"Both operating profit and net sales for the 12-month period increased , respectively from EUR21 .5 m and EUR196 .1 m , as compared to 2005 .",0,0,0.9576216,0.9347927,baseline,positive,positive,1,ok
"The parties have agreed not to disclose the price of the deal , the group said in a press release .",2,2,0.9356549,0.8946438,baseline,neutral,neutral,1,ok
The estimated value of the deal is USD 9.2 million .,2,2,0.94466835,0.9022087,baseline,neutral,neutral,1,ok
"A total of 1,800,000 stock options were issued in the 2003 stock option scheme .",2,2,0.94678855,0.9141136,baseline,neutral,neutral,1,ok
"Department store sales improved by 14 % to EUR 1,070.6 mn .",0,0,0.96119475,0.93875444,baseline,positive,positive,1,ok
"The 10,000-odd square metre plot that Stockmann has bought for the Nevsky Center shopping center is located on Nevsky Prospect , St Petersburg 's high street , next to the Vosstaniya Square underground station , in the immediate vicinity of",2,2,0.94196934,0.8987964,baseline,neutral,neutral,1,ok
"The total donation amount is EUR 1,115,000 .",2,2,0.9280293,0.8669122,baseline,neutral,neutral,1,ok
"The company reported a profit of 800,000 euro ($ 1.2 mln)on the sale of its Varesvuo Partners sub-group and a loss of 400,000 euro $ 623,000 caused by the sale of its program production subsidiary Oy Filmiteollisuus Fine Ab .",2,1,0.9569447,0.9251121,baseline,neutral,negative,0,misclassification
Finnish Rautaruukki has been awarded a contract to supply and install steel superstructures for the Partihallsf+Ârbindelsen bridge in Gothenburg in Sweden .,0,0,0.94474626,0.90297115,baseline,positive,positive,1,ok
Consolidated pretax profit decreased by 69.2 % to EUR 41.0 mn from EUR 133.1 mn in 2007 .,1,1,0.97609735,0.96125996,baseline,negative,negative,1,ok
"She will succeed Krister Kylas , who has decided to leave TeliaSonera .",2,2,0.84444475,0.7143965,baseline,neutral,neutral,1,ok
Operating profit improved by 16.7 % to EUR 7.7 mn .,0,0,0.96241903,0.9408547,baseline,positive,positive,1,ok
The total value of the contract is some EUR 8 million .,2,2,0.94359696,0.90377086,baseline,neutral,neutral,1,ok
"Rockwell Collins is a provider of flight deck , cabin and information management solutions for business aircraft operators .",2,2,0.9030544,0.8167619,baseline,neutral,neutral,1,ok
The bond has a value of EUR150m and a maturity of 4 years .,2,2,0.9454014,0.90504444,baseline,neutral,neutral,1,ok
Cameco typically prices sales contracts using a 40:60 ratio of fixed prices and spot prices .,2,2,0.9428444,0.913272,baseline,neutral,neutral,1,ok
Marimekko is considering further measures in the matter .,2,2,0.85845584,0.739259,baseline,neutral,neutral,1,ok
It 's not .,2,2,0.8432264,0.75098324,baseline,neutral,neutral,1,ok
Ruukki 's order book at the end of 2010 was 30 % up year-on-year and 10 % up quarter-on-quarter .,0,0,0.95483136,0.9309419,baseline,positive,positive,1,ok
The profit after taxes was EUR 57.7 11.1 million .,2,2,0.9333922,0.897769,baseline,neutral,neutral,1,ok
"The company generates net sales of about 600 mln euro $ 775.5 mln annually and employs 6,000 .",2,2,0.9404148,0.89961624,baseline,neutral,neutral,1,ok
"Erkki Jarvinen , President of Rautakirja and the head of the Sanoma Trade division , will leave his current tasks in spring 2009 for a similar position outside the Sanoma Group .",2,2,0.9096758,0.8440293,baseline,neutral,neutral,1,ok
Why not give your bedroom a cool makeover for summer .,2,2,0.908354,0.8356552,baseline,neutral,neutral,1,ok
"The company operates worldwide and employs in total approximately 47,000 persons .",2,2,0.94172263,0.90015125,baseline,neutral,neutral,1,ok
"F-Secure Internet Security 2010 is a security service for surfing the web , online banking and shopping , e-mail , and other online activities .",2,2,0.9454246,0.90605867,baseline,neutral,neutral,1,ok
The dividends payable annually shall be deducted from the share subscription price .,2,2,0.9449595,0.9104553,baseline,neutral,neutral,1,ok
"The company 's profit totaled Ls 578,100 in H1 2007 , down 30.9 % year-on-year .",1,1,0.97580135,0.95857024,baseline,negative,negative,1,ok
- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,0,0,0.95953214,0.93886334,baseline,positive,positive,1,ok
NWC ANALYSIS :,2,2,0.93920636,0.898834,baseline,neutral,neutral,1,ok
"Pretax profit totalled EUR 2.0 mn , compared to a loss of EUR 159.2 mn in the fourth quarter of 2008 .",0,0,0.8849398,0.78729045,baseline,positive,positive,1,ok
"Previously , the company expected its 2008 financial performance to remain at the same level as in 2008 .",2,0,0.73678505,0.57944703,baseline,neutral,positive,0,misclassification
No planned closing date was provided .,2,2,0.94245464,0.9045085,baseline,neutral,neutral,1,ok
The value of the total investment is about EUR 600mn .,2,2,0.9460743,0.9051263,baseline,neutral,neutral,1,ok
Revenue in the quarter fell 8 percent to ( EURO ) 2.4 billion compared to a year earlier .,1,1,0.9773287,0.96197754,baseline,negative,negative,1,ok
